type of dwelling involved in the sale,general zoning classification of the sale,Linear feet of street connected to the property,Lot size in square feet,Type of ROAD access to property,Type of ALLEY access to property,General shape of property,Flatness of the property,Type of utilities available,Lot configuration,Slope of property,Physical locations within Ames city limits,Proximity to various conditions,Type of dwelling,Style of dwelling,Rates the overall material and finish of the house,Rates the overall condition of the house,Original construction & remodel date,Type of roof,Roof material,Exterior covering on the house,Masonry veneer area in square feet,exterior quality and condition of the material,Type of foundation,Evaluates the height of the basement,Evaluate the general condition of the basement,Refers to walkout or garden-level walls,Rating of 1st & 2nd basement finished area,Type 1 finished square feet,Unfinished square feet of basement area,Total square feet of basement area,Type of heating,Heating quality and condition,Central air conditioning,Electrical system,First Floor square feet,Second-floor square feet,Above grade (ground) living area square feet,Basement full bathrooms,Full bathrooms above grade,BedroomAbvGr,KitchenAbvGr,Kitchen Quality,Total rooms above grade (does not include bathrooms),Home functionality (Assume typical unless deductions are warranted),Number of fireplaces,Fireplace quality,Garage location,Interior finish of the garage,Size of garage in car capacity,Size of garage in square feet,Garage quality & condition,Paved driveway,Wood deck area in square feet,Open porch area in square feet,Pool quality,Fence Quality,Miscellaneous feature not covered in other categories,Month Sold (MM),Year Sold (YYYY),Type of sale,Condition of sale,SalePrice
2-STORY 1946 & NEWER,Residential Low-Density,65,8450,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Single-family Detached,Two-story,Good,Average,2003,Gable,Standard (Composite) Shingle,Vinyl Siding,196,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters&Unfinished,706,150,856,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,856,854,1710,1,2,3,1,Good,8,Typical Functionality,0,No,Attached to the home,Rough Finished,2,548,Average/Typical,Paved,0,61,No,No,No,Feb,2008,Warranty Deed - Conventional,Normal Sale,208500
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,80,9600,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Frontage on 2 sides of the property,Gentle slope,Veenker,Adjacent to feeder street&Normal,Single-family Detached,One story,Above Average,Very Good,1976,Gable,Standard (Composite) Shingle,Metal Siding,0,Average/Typical,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,Good Exposure,Average Living Quarters&Unfinished,978,284,1262,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1262,0,1262,0,2,3,1,Average/Typical,6,Typical Functionality,1,Average,Attached to the home,Rough Finished,2,460,Average/Typical,Paved,298,0,No,No,No,May,2007,Warranty Deed - Conventional,Normal Sale,181500
2-STORY 1946 & NEWER,Residential Low-Density,68,11250,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Single-family Detached,Two-story,Good,Average,2001&2002,Gable,Standard (Composite) Shingle,Vinyl Siding,162,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,Minimum Exposure,Good Living Quarters&Unfinished,486,434,920,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,920,866,1786,1,2,3,1,Good,6,Typical Functionality,1,Average,Attached to the home,Rough Finished,2,608,Average/Typical,Paved,0,42,No,No,No,Sep,2008,Warranty Deed - Conventional,Normal Sale,223500
2-STORY 1945 & NEWER,Residential Low-Density,60,9550,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Crawford,Normal,Single-family Detached,Two-story,Good,Average,1915&1970,Gable,Standard (Composite) Shingle,Wood Siding,0,Average/Typical,Brick & Tile,Typical (80-89 inches),Good,No Exposure,Average Living Quarters&Unfinished,216,540,756,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,961,756,1717,1,1,3,1,Good,7,Typical Functionality,1,Good,Detached from home,Unfinished,3,642,Average/Typical,Paved,0,35,No,No,No,Feb,2006,Warranty Deed - Conventional,Abnormal Sale,140000
2-STORY 1946 & NEWER,Residential Low-Density,84,14260,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Frontage on 2 sides of the property,Gentle slope,Northridge,Normal,Single-family Detached,Two-story,Very Good,Average,2000,Gable,Standard (Composite) Shingle,Vinyl Siding,350,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters&Unfinished,655,490,1145,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1145,1053,2198,1,2,4,1,Good,9,Typical Functionality,1,Average,Attached to the home,Rough Finished,3,836,Average/Typical,Paved,192,84,No,No,No,Dec,2008,Warranty Deed - Conventional,Normal Sale,250000
1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,85,14115,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Mitchell,Normal,Single-family Detached,One and one-half story: 2nd level finished,Average,Average,1993&1995,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Average/Typical,Wood,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters&Unfinished,732,64,796,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,796,566,1362,1,1,1,1,Average/Typical,5,Typical Functionality,0,No,Attached to the home,Unfinished,2,480,Average/Typical,Paved,40,30,No,Minimum Privacy,Shed (over 100 SF),Oct,2009,Warranty Deed - Conventional,Normal Sale,143000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,75,10084,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerset,Normal,Single-family Detached,One story,Very Good,Average,2004&2005,Gable,Standard (Composite) Shingle,Vinyl Siding,186,Good&Average/Typical,Poured Concrete,Excellent (100+ inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters&Unfinished,1369,317,1686,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1694,0,1694,1,2,3,1,Good,7,Typical Functionality,1,Good,Attached to the home,Rough Finished,2,636,Average/Typical,Paved,255,57,No,No,No,Aug,2007,Warranty Deed - Conventional,Normal Sale,307000
2-STORY 1946 & NEWER,Residential Low-Density,0,10382,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Northwest Ames,"Near positive off-site feature--park, greenbelt, etc&Normal",Single-family Detached,Two-story,Good,Above Average,1973,Gable,Standard (Composite) Shingle,Hard Board,240,Average/Typical,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,Minimum Exposure,Average Living Quarters&Below Average Living Quarters,859,216,1107,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1107,983,2090,1,2,3,1,Average/Typical,7,Typical Functionality,2,Average,Attached to the home,Rough Finished,2,484,Average/Typical,Paved,235,204,No,No,Shed (over 100 SF),Nov,2009,Warranty Deed - Conventional,Normal Sale,200000
1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,51,6120,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Old Town,Adjacent to arterial street&Normal,Single-family Detached,One and one-half story: 2nd level finished,Good,Average,1931&1950,Gable,Standard (Composite) Shingle,Brick Face,0,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,952,952,Gas forced warm air furnace,Good,Yes,60 AMP Fuse Box and mostly Romex wiring (Fair),1022,752,1774,0,2,2,2,Average/Typical,8,Minor Deductions 1,2,Average,Detached from home,Unfinished,2,468,Fair&Average/Typical,Paved,90,0,No,No,No,Apr,2008,Warranty Deed - Conventional,Abnormal Sale,129900
2 FAMILY CONVERSION - ALL STYLES AND AGES,Residential Low-Density,50,7420,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Brookside,Adjacent to arterial street,2fmCon,One and one-half story: 2nd level unfinished,Average,Above Average,1939&1950,Gable,Standard (Composite) Shingle,Metal Siding,0,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters&Unfinished,851,140,991,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1077,0,1077,1,1,2,2,Average/Typical,5,Typical Functionality,2,Average,Attached to the home,Rough Finished,1,205,Good&Average/Typical,Paved,0,4,No,No,No,Jan,2008,Warranty Deed - Conventional,Normal Sale,118000
